item_sets,supp_count
B000GLRREU,7152
B000FOI48G,7404
B000FI73MA,6443
B000GF7ZRA,15196
B002LVUX1W,8233
B007Q1W586,10744
B0083Q04IQ,8494
"('B00BWYVWLO', 'B00CYQP3AK')",13134
B00LOR4928,6126
B00N2ZDXW2,15344
B00S5HFVGI,6401
B00U3FPN4U,13057
B00VKIY9RG,11664
B015TJD0Y4,8886
B018SZT3BK,12772
B01DM6BDA4,10027
B006LXOJC0,6886
B000AST3AK,5618
B000CITK8S,8946
0002247399,7147
000711835X,12988
0007141424,7658
0007155662,9882
0007173156,5213
0007271239,7573
0007350899,10032
0007368658,5105
0007378033,12573
0007384289,6371
0007420412,17645
0007420412,21223
0007444117,10162
0007548672,25085
000755236X,5064
0008118922,5198
0008220565,6375
0030565073,5459
006017322X,7644
0060740221,5680
006195070X,7694
006195070X,11193
0062082361,10697
0062409883,5883
0091906814,6346
0091944244,7407
0091955106,10840
0099554798,5142
0099664313,8407
0099740915,7154
0099911701,16289
0099911701,13847
0140434186,5696
0141027126,9329
0141039280,9279
0141043768,6284
0141192496,6117
0141331976,8651
0141335734,6223
0141338261,5300
0141353678,9472
0141354224,5801
0141353678,13456
0141378247,12199
0141353678,12220
0142428280,6098
0142800376,5828
0143106708,6508
0143109464,6445
0143121707,5224
0143121707,6028
0143125478,12339
0143142372,6837
0143125478,7319
0143142372,5041
0147524199,5990
0147520762,6905
0151008116,5522
0151015392,6411
0230750214,5307
0297859382,19734
0297859382,8648
0307283666,5221
0307341577,7335
0307408868,5583
0307476073,6887
0307582884,9395
0307749649,5324
030788743X,11104
0307943232,8836
0312577222,15225
0312577222,17180
0312853238,8052
0316044695,10962
0316055433,7708
0316055433,8487
0316206857,7661
0316225932,5447
0316225940,5417
0316228532,12482
0316245283,7105
0340822538,5359
0340979496,11694
0345533666,7074
0345543254,6333
0345544943,6235
0345543246,15174
037032921X,11309
0375434542,5003
0385344430,6630
0385349173,5412
0385537859,6254
0385537859,8610
0385539436,6703
0385660073,5115
038568231X,12813
0385677006,5524
038568231X,17942
038568231X,12672
0399159347,7516
0399159347,8051
0399167064,8456
0399167064,5878
0425259854,5287
0425263908,5268
0425266060,6899
0425284689,6086
0439023521,17563
0439139600,5315
0439249546,13833
0439358078,5833
044654759X,6695
0451412656,10306
0451468740,6238
0529120887,10834
0529120887,5240
0545582881,16430
0552160962,6404
055277572X,7204
0552778478,6536
0552778478,5747
0553418025,9787
0553418025,18321
0575081406,6325
0575097418,5517
0575102489,5222
0593073827,5702
0595440096,5507
0606322639,5102
0613237528,6049
0641866240,6746
0718178130,9235
0739474979,7136
0749958790,7284
0751549959,8569
0751565350,7236
0785262180,5266
0802407692,10824
0804192898,5203
0805093079,7479
0805096663,7126
080509668X,6951
0805098542,7298
0812469496,5495
081298840X,7415
0849946158,11066
0982301820,7678
0984502203,11174
0991677196,6554
1101946342,11497
1250158060,6424
1408704617,5709
1408842432,6237
1410440478,8987
141046900X,6846
1410472922,9588
1433524724,8091
1442362383,8566
1442369183,5849
1447287967,7830
1455541516,5694
1469216051,5677
1469984202,10413
1477820876,6139
1477822089,5186
1477825576,7957
1477848665,5098
1501228722,6698
1503934713,8019
1503935310,9674
1503943372,15000
1503950255,6515
1503953386,7191
1542046599,5793
1611735270,7852
1878424319,6208
1910751774,7273
2253195103,10464
6077547328,9382
7208061645,5352
8184776217,20763
B000FK9M18,17352
B000K5THYU,17355
B000X1MX7E,23790
B001C4VLZQ,17363
0375969020,10275
B003156C4E,17381
B0076JPX46,7598
B00A9WRH3M,8117
1683247353,18430
B00SB123IM,10957
"('B017V4IPPO', 'B017WJ5PR4')",17554
B00L98V4UW,6545
B005NF5NTK,11254
B0085JRQZU,5879
B009YCP1LS,5538
B00AA6CS86,5342
B00AANQLRI,9166
B00BT8L2MW,7563
B00D856NOG,7497
B00G7UY3EG,5781
B00IGISUTG,6110
B00JH88NHI,6756
B00M51DDT2,5962
B00MQSMDYU,12169
B00MWB3NFO,5413
B00MXWFUQC,6508
B00N0YUKEO,5154
B00P7N0320,6286
B00QN1T6NM,6786
B00VH88CJ0,8267
B00X5RV14Y,11909
B014EB532U,8460
B018JW3EOY,7833
B0194WDVHI,7580
B019PV2I3G,6013
B01G1XUCA2,5257
B00006XXGO,7072
"('B0001YRFS0', 'B00028AZ6E')",5152
B0002TOZ1E,5195
B0007YR980,6010
"('B000EDKSEG', 'B000EDMSEE')",6132
B00028AVDQ,5179
B000KGOHLM,5404
"('B000MXIMKK', 'B000MXQ2CU')",5170
B000NZKD18,5213
B000O51JMY,5876
B000O55O7A,5660
B00028AVDG,5240
B000WTOCS0,5183
"('B000XBM1L2', 'B000XDJ7LW')",5101
B00162CDE2,5204
"('B0017LT9OO', 'B0017LT9PS')",5009
B0001YRE04,5197
B000YXC2LI,7724
B0018C5KUY,6251
B0018OHL5E,7719
B001DXQ0PM,5212
B001FOQI1U,5214
"('B0018OLONE', 'B001BIL3MY')",7725
B0013F153W,6105
B001QV4SDC,6558
B00295MQLU,6261
B002G9UEG8,5433
B002RAKPME,5842
B0058XISVW,7967
B005PQQ1VQ,7371
B00FE7KCFM,5979
B00GAO5KE6,7803
B00GAPACC0,7466
B00GKOMC3S,5790
B00GV8I1BA,8687
