item_sets,supp_count
"('frankfurter', 'sausage')",109
"('frankfurter', 'whole milk')",102
"('sausage', 'tropical fruit')",108
"('sausage', 'whole milk')",146
"('other vegetables', 'whole milk')",121
UHT-milk,100
bottled beer,159
bottled water,261
brown bread,194
butter,191
canned beer,148
coffee,141
cream cheese ,132
curd,169
dessert,112
domestic eggs,196
frozen vegetables,136
fruit/vegetable juice,158
margarine,165
newspapers,172
other vegetables,510
pastry,239
pip fruit,152
rolls/buns,461
root vegetables,245
shopping bags,223
soda,396
tropical fruit,124
whipped/sour cream,216
white bread,122
whole milk,601
yogurt,444
bottled beer,170
bottled water,266
brown bread,169
butter,108
canned beer,109
chocolate,150
coffee,138
cream cheese ,104
curd,104
domestic eggs,200
frozen vegetables,138
fruit/vegetable juice,212
hygiene articles,107
long life bakery product,117
margarine,201
napkins,172
newspapers,249
other vegetables,161
pastry,212
rolls/buns,363
salty snack,107
shopping bags,348
soda,405
sugar,105
waffles,122
whipped/sour cream,195
white bread,126
whole milk,231
yogurt,259
