item_sets,supp_count
"('frankfurter', 'sausage')",109
"('frankfurter', 'whole milk')",102
"('sausage', 'tropical fruit')",108
"('sausage', 'whole milk')",146
"('other vegetables', 'whole milk')",121
UHT-milk,100
bottled beer,159
bottled water,261
brown bread,194
butter,191
canned beer,148
coffee,141
cream cheese ,132
curd,169
dessert,112
domestic eggs,196
frozen vegetables,136
fruit/vegetable juice,158
margarine,165
newspapers,172
other vegetables,510
pastry,239
pip fruit,152
rolls/buns,461
root vegetables,245
shopping bags,223
soda,396
tropical fruit,124
whipped/sour cream,216
white bread,122
whole milk,601
yogurt,444
